學測報名序號,班級,座號,錄取學校,錄取系所,入學管道,"輸出日期：9/22/2022, 9:24:31 AM"
26831302,313,2,臺北醫學大學,藥學系藥學組,繁星,
26831310,313,10,中國醫藥大學,藥學系,繁星,
26830917,309,17,國立臺灣大學,政治學系公共行政組,繁星,
26830434,304,34,國立陽明交通大學,人文社會學系,分科,
26831322,313,22,國立陽明交通大學,土木工程學系,繁星,
26831519,315,19,國立陽明交通大學,旋坤揚帆招生戊組(人文社會),申請,
26830418,304,18,國立成功大學,台灣文學系,繁星,
26831306,313,06,國立成功大學,生物科技與產業科學系,繁星,
26831311,313,11,國立成功大學,測量及空間資訊學系,繁星,
26830413,304,13,國立政治大學,傳播學院大一大二不分系(社會組),繁星,
26831118,311,18,國立臺灣師範大學,物理學系,申請,
26831301,313,01,國立臺灣師範大學,科技應用與人力資源發展學系,繁星,
26830316,303,16,國立中正大學,勞工關係學系,繁星,
26830810,308,10,國立中興大學,台灣人文創新學士學位學程,繁星,
26831129,311,29,國立中央大學,土木工程學系,繁星,
26831320,313,20,國立中央大學,生命科學系,繁星,
26831312,313,12,國立中山大學,物理學系,繁星,
26830635,306,35,國立臺北大學,金融與合作經營學系,繁星,
26830809,308,09,國立臺北大學,進修部社工系,獨招,
26830921,309,21,國立臺北大學,進修部不動產與城鄉學系,獨招,
26831103,311,03,長庚學校財團法人長庚科技大學,護理系（林口校區）,四技二專,
26831401,314,01,長庚學校財團法人長庚科技大學,護理系（林口校區）,四技二專,
26831402,314,02,大仁科技大學,護理系,四技二專,
26831405,314,05,義守大學,護理學系,繁星,
26831411,314,11,長庚學校財團法人長庚科技大學,護理系（林口校區）,四技二專,
26831414,314,14,長庚學校財團法人長庚科技大學,護理系（林口校區）,四技二專,
26831415,314,15,經國管理暨健康學院,護理系,四技二專,
26831419,314,19,大葉大學,護理學系,繁星,
26831501,315,01,中華醫事科技大學,護理系,四技二專,
26831503,315,03,長庚學校財團法人長庚科技大學,護理系（林口校區）,四技二專,
26831510,315,10,長庚學校財團法人長庚科技大學,護理系（林口校區）,四技二專,
26831327,313,27,國立彰化師範大學,物理學系光電組,繁星,
26830928,309,28,國立臺灣海洋大學,海洋法政學士學位學程,繁星,
26831323,313,23,國立臺灣海洋大學,河海工程學系,繁星,
26831431,314,31,國立臺灣海洋大學,環境生物與漁業科學學系,分科,
26830735,307,35,國立高雄師範大學,國文學系,分科,
26831317,313,17,國立高雄師範大學,電子工程學系,繁星,
26830827,308,27,國立臺灣體育運動大學,體育學系,繁星,
26830127,301,27,國立體育大學,陸上運動技術學系（游泳）,獨招,
26830211,302,11,國立體育大學,適應體育學系(一般組),繁星,
26830736,307,36,國立體育大學,休閒產業經營學系,分科,
26830804,308,04,國立體育大學,休閒產業經營學系,分科,
26830925,309,25,國立體育大學,休閒產業經營學系,分科,
26830209,302,09,國立聯合大學,文化觀光產業學系,繁星,
26830823,308,23,國立聯合大學,經營管理學系,分科,
26830905,309,05,國立聯合大學,資訊工程學系(B組),分科,
26831307,313,07,國立聯合大學,建築學系,繁星,
26831325,313,25,國立聯合大學,機械工程學系,繁星,
26831434,314,34,國立聯合大學,電機工程學系,分科,
26831506,315,06,國立聯合大學,華語文學系,申請,
26830702,307,02,國立暨南國際大學,財務金融學系,繁星,
26830725,307,25,國立暨南國際大學,社會政策與社會工作學系,申請,
26830628,306,28,國立嘉義大學,資訊管理學系(社會組),分科,
26830834,308,34,國立嘉義大學,教育學系,繁星,
26830908,309,08,國立嘉義大學,幼兒教育學系,分科,
26831423,314,23,國立嘉義大學,木質材料與設計學系,身障,
26831433,314,33,國立嘉義大學,農藝學系,繁星,
26830314,303,14,國立東華大學,中國語文學系,繁星,
26830508,305,08,國立東華大學,法律學系,繁星,
26830531,305,31,國立東華大學,管理學院管理科學與財金國際學士學位學程,分科,
26830619,306,19,國立東華大學,特殊教育學系,分科,
26831424,314,24,國立東華大學,幼兒教育學系,分科,
26831521,315,21,國立東華大學,物理學系物理組,分科,
26830134,301,34,國立臺南大學,文化與自然資源學系,分科,
26830226,302,26,國立臺南大學,戲劇創作與應用學系(男),分科,
26830407,304,07,國立臺南大學,幼兒教育學系,分科,
26831303,313,03,國立臺南大學,生物科技學系,繁星,
26830404,304,04,國立宜蘭大學,休閒產業與健康促進學系,繁星,
26831009,310,09,國立宜蘭大學,生物機電工程學系,申請,
26831016,310,16,國立宜蘭大學,土木工程學系,分科,
26831328,313,28,國立宜蘭大學,土木工程學系,繁星,
26831427,314,27,國立宜蘭大學,食品科學系,分科,
26831428,314,28,國立宜蘭大學,化學工程與材料工程學系,分科,
26831504,315,04,國立宜蘭大學,食品科學系,繁星,
26831520,315,20,國立宜蘭大學,電機工程學系,繁星,
26831522,315,22,國立宜蘭大學,土木工程學系,分科,
26831532,315,32,國立宜蘭大學,園藝學系,身障,
26830417,304,17,國立金門大學,觀光管理學系,分科,
26830427,304,27,國立金門大學,觀光管理學系,申請,
26830507,305,07,國立金門大學,國際暨大陸事務學系,申請,
26830618,306,18,國立金門大學,國際暨大陸事務學系,繁星,
26830832,308,32,國立金門大學,觀光管理學系,分科,
26831329,313,29,國立高雄大學,資訊工程學系,繁星,
26831008,310,08,國立屏東大學,電腦科學與人工智慧學系,繁星,
26830315,303,15,國立臺東大學,數位媒體與文教產業學系,繁星,
26831112,311,12,國立臺東大學,生命科學系,繁星,
26831227,312,27,國立臺東大學,應用科學系化學及奈米科學組,申請,
26830609,306,09,陸軍軍官學校,應用外文,獨招,
26830312,303,12,國立臺中教育大學,諮商與應用心理學系,分科,
26830629,306,29,國立臺中教育大學,國際企業學系,分科,
26830730,307,30,國立臺中教育大學,資訊工程學系,繁星,
26830713,307,13,國立臺北教育大學,教育學系,繁星,
26831014,310,14,國立高雄科技大學,漁業生產與管理系,四技二專,
26830821,308,21,陸軍專科學校,無,獨招,
26830829,308,29,陸軍專科學校,無,獨招,
26830102,301,02,臺北市立大學,教育學系,申請,
26830408,304,08,臺北市立大學,幼兒教育學系,繁星,
26831437,314,37,臺北市立大學,休閒運動管理學系,申請,
26830111,301,11,大阪國際大學,國際觀光系,出國,
26830106,301,06,高雄醫學大學,醫學社會學與社會工作學系,申請,
26831308,313,08,高雄醫學大學,物理治療學系,繁星,
26830724,307,24,中山醫學大學,醫療產業科技管理學系,分科,
26830911,309,11,中山醫學大學,應用外國語言學系,分科,
26831507,315,07,中山醫學大學,物理治療學系,繁星,
26830302,303,02,臺北醫學大學,醫務管理學系,分科,
26831404,314,04,中國醫藥大學,公共衛生學院大一不分系,繁星,
26830110,301,10,輔仁大學,商業管理系（進修部）,獨招,
26830125,301,25,輔仁大學,餐旅系（進修部）,獨招,
26830131,301,31,輔仁大學,日文系（進修部）,獨招,
26830202,302,02,輔仁大學,西班牙語文學系,分科,
26830214,302,14,輔仁大學,中國文學系,分科,
26830223,302,23,輔仁大學,義大利語文學系,分科,
26830225,302,25,輔仁大學,歷史系,獨招,
26830231,302,31,輔仁大學,中國文學系,分科,
26830414,304,14,輔仁大學,法國語文學系,繁星,
26830415,304,15,輔仁大學,圖書資訊學系,分科,
26830416,304,16,輔仁大學,社會工作學系,分科,
26830429,304,29,輔仁大學,英國語文學系,分科,
26830433,304,33,輔仁大學,臨床心理學系,繁星,
26830515,305,15,輔仁大學,經濟學系,繁星,
26830522,305,22,輔仁大學,織品服裝學系服飾設計組,分科,
26830703,307,03,輔仁大學,中國文學系,分科,
26830705,307,05,輔仁大學,進修部經濟系,獨招,
26830712,307,12,輔仁大學,進修部大傳系,獨招,
26830717,307,17,輔仁大學,兒童與家庭學系,分科,
26830729,307,29,輔仁大學,進修部大傳系,獨招,
26830811,308,11,輔仁大學,法文系,分科,
26830817,308,17,輔仁大學,宗教學系,申請,
26830831,308,31,輔仁大學,餐旅管理學系,分科,
26830833,308,33,輔仁大學,圖書資訊學系,分科,
26831002,310,02,輔仁大學,中國文學系,分科,
26831021,310,21,輔仁大學,化學系,分科,
26831125,311,25,輔仁大學,人工智慧與資訊安全學士學位學程,繁星,
26831128,311,28,輔仁大學,物理學系光電物理組,分科,
26831213,312,13,輔仁大學,物理學系物理組,申請,
26831319,313,19,輔仁大學,電機工程學系,繁星,
26831407,314,07,輔仁大學,食品科學系,分科,
26831422,314,22,輔仁大學,英國語文學系,分科,
26831432,314,32,輔仁大學,生命科學系,獨招,
26831515,315,15,輔仁大學,織品服裝設計系,體優,
26830112,301,12,淡江大學,管理科學學系(大數據資料分析應用組),繁星,
26830230,302,30,淡江大學,全球政治經濟學系全英語學士班,申請,
26830309,303,09,淡江大學,教育科技學系,申請,
26830432,304,32,淡江大學,中國文學學系,分科,
26830521,305,21,淡江大學,國際企業學系國際商學全英語組,分科,
26830526,305,26,淡江大學,經濟學系,繁星,
26830534,305,34,淡江大學,國際企業學系經貿管理組,申請,
26830612,306,12,淡江大學,運輸管理學系,分科,
26830625,306,25,淡江大學,國際企業學系經貿管理組,分科,
26830634,306,34,淡江大學,運輸管理學系,分科,
26830719,307,19,淡江大學,財務金融學系全球財務管理全英語學士班,分科,
26830722,307,22,淡江大學,資訊傳播學系,申請,
26830726,307,26,淡江大學,統計學系,申請,
26830812,308,12,淡江大學,管理科學學系(企業經營與行銷流通組),繁星,
26830813,308,13,淡江大學,資訊管理學系,申請,
26830904,309,04,淡江大學,風險管理與保險學系,分科,
26830906,309,06,淡江大學,歷史學系,申請,
26830909,309,09,淡江大學,法國語文學系,分科,
26830919,309,19,淡江大學,財務金融學系,分科,
26830924,309,24,淡江大學,教育科技學系,分科,
26830926,309,26,淡江大學,管理科學學系(大數據資料分析應用組),分科,
26830934,309,34,淡江大學,財務金融學系,分科,
26830935,309,35,淡江大學,財務金融學系,分科,
26831015,310,15,淡江大學,土木工程學系,分科,
26831032,310,32,淡江大學,機械與機電工程學系精密機械組,分科,
26831111,311,11,淡江大學,資訊管理學系,分科,
26831117,311,17,淡江大學,土木工程學系,分科,
26831127,311,27,淡江大學,機械與機電工程學系精密機械組,繁星,
26831211,312,11,淡江大學,統計學系,申請,
26831218,312,18,淡江大學,化學學系材料化學組,申請,
26831221,312,21,淡江大學,數學學系數學組,申請,
26831222,312,22,淡江大學,化學學系化學與生物化學組,分科,
26831321,313,21,淡江大學,人工智慧學系,繁星,
26831409,314,09,淡江大學,化學學系化學與生物化學組,申請,
26831436,314,36,淡江大學,化學工程與材料工程學系,分科,
26831528,315,28,淡江大學,理學院尖端材料科學學士學位學程,申請,
26831536,315,36,淡江大學,數學學系資料科學與數理統計組,申請,
26830126,301,26,東海大學,法律學系,分科,
26830222,302,22,東海大學,社會工作學系,申請,
26830606,306,06,東海大學,高齡健康與運動科學學士學位學程,申請,
26830611,306,11,東海大學,社會工作學系,繁星,
26830716,307,16,東海大學,財務金融學系,分科,
26830721,307,21,東海大學,企業管理學系,分科,
26830912,309,12,東海大學,中國文學系,繁星,
26831126,311,26,東海大學,化學工程與材料工程學系(製程及能源工程組),申請,
26831223,312,23,東海大學,統計學系,分科,
26831316,313,16,東海大學,資訊工程學系(軟體工程組),繁星,
26831324,313,24,東海大學,化學工程與材料工程學系(製程及能源工程組),繁星,
26831518,315,18,東海大學,景觀學系,分科,
26831526,315,26,東海大學,畜產與生物科技學系(A組),分科,
26830128,301,28,東吳大學,英文學系,分科,
26830130,301,30,東吳大學,社會學系,分科,
26830201,302,01,東吳大學,國際經營與貿易學系,分科,
26830501,305,01,東吳大學,哲學系,申請,
26830510,305,10,東吳大學,英文學系,繁星,
26830516,305,16,東吳大學,國際經營與貿易學系,繁星,
26830524,305,24,東吳大學,資訊管理學系,分科,
26830601,306,01,東吳大學,英文學系,申請,
26830607,306,07,東吳大學,財務工程與精算數學系,分科,
26830615,306,15,東吳大學,經濟學系,分科,
26830617,306,17,東吳大學,日本語文學系,分科,
26830630,306,30,東吳大學,經濟學系,分科,
26830714,307,14,東吳大學,國際經營與貿易學系,分科,
26830727,307,27,東吳大學,國際經營與貿易學系,分科,
26830822,308,22,東吳大學,企業管理學系,分科,
26831314,313,14,東吳大學,數學系,繁星,
26831315,313,15,東吳大學,物理學系,繁星,
26830204,302,04,中原大學,企業管理學系工商管理組,分科,
26830610,306,10,中原大學,特殊教育學系,繁星,
26830631,306,31,中原大學,工業與系統工程學系管理組,分科,
26830707,307,07,中原大學,資訊管理學系,繁星,
26830830,308,30,中原大學,財務金融學系,分科,
26831012,310,12,中原大學,資訊工程學系,繁星,
26831020,310,20,中原大學,物理學系物理組,申請,
26831024,310,24,中原大學,環境工程學系,分科,
26831101,311,01,中原大學,土木工程學系,申請,
26831113,311,13,中原大學,工業與系統工程學系工程組,申請,
26831119,311,19,中原大學,土木工程學系,申請,
26831121,311,21,中原大學,地景建築學系,分科,
26831124,311,24,中原大學,機械工程學系,繁星,
26831425,314,25,中原大學,化學工程學系綠能製程組,分科,
26831531,315,31,中原大學,化學系化學組,分科,
26830232,302,32,長庚大學,醫務管理學系,分科,
26830533,305,33,長庚大學,工商管理學系工業管理組,申請,
26830715,307,15,長庚大學,工商管理學系(數智商務組),分科,
26831305,313,05,長庚大學,物理治療學系,繁星,
26831318,313,18,長庚大學,電機工程學系,分科,
26831406,314,06,長庚大學,工業設計學系(社會組),分科,
26831418,314,18,長庚大學,工商管理學系(數智商務組),分科,
26831508,315,08,長庚大學,人工智慧學士學位學程,分科,
26831524,315,24,長庚大學,工商管理學系(工業管理組),分科,
26830701,307,01,逢甲大學,國際經營與貿易學系,繁星,
26830734,307,34,逢甲大學,統計學系大數據分析與市場決策組,分科,
26831104,311,04,逢甲大學,化學工程學系,分科,
26831108,311,08,逢甲大學,運輸與物流學系,申請,
26831201,312,01,逢甲大學,統計學系大數據分析與市場決策組,分科,
26831304,313,04,逢甲大學,光電科學與工程學系,繁星,
26831309,313,09,逢甲大學,經濟學系,繁星,
26831313,313,13,逢甲大學,資訊工程學系甲組,繁星,
26830122,301,22,元智大學,中國語文學系,申請,
26830409,304,09,元智大學,社會暨政策科學學系,繁星,
26830608,306,08,元智大學,管理學院學士班(主修：企業管理),申請,
26830624,306,24,元智大學,管理學院學士班(主修：企業管理),分科,
